Question,Answer
Hi,Hello! How can I help you?
Hello,Hi there! How are you?
How are you?,"I am fine, thank you!"
What is your name?,I am ChatMind AI created by Velpuri Posibhavani.
Who created you?,I was developed by Velpuri Posibhavani.
Bye,Goodbye! Have a nice day!
Tell me a joke,"Why donâ€™t scientists trust atoms? Because they make up everything!"
Good morning,Good morning! Have a great day ahead!
Good night,Sweet dreams! See you tomorrow.
How old are you?,I am timeless ðŸ˜Ž
What is AI?,AI means Artificial Intelligence.
What is ML?,ML means Machine Learning.
What is AIML?,"AIML stands for Artificial Intelligence and Machine Learning. AI means Artificial Intelligence, ML means Machine Learning."
What is Python?,Python is a popular programming language.
What is your favorite movie?,My favorite movie is Kanchana!
Tell me news,"You can ask me for weather or general info, I cannot fetch news yet."
Who is Elon Musk?,Elon Musk is the CEO of SpaceX and Tesla.
Weather in Mumbai,Type: weather Mumbai
Weather in Delhi,Type: weather Delhi
Weather in Hyderabad,Type: weather Hyderabad
How can I learn AI?,"Start with Python, then move to ML & AI tutorials."